Quote,Author,Image file,Source of quote,Image link,Image credit,License type,Topic,Other links,Portrait from another page (same author)
"Email is the lowest common denominator. It's the way you get communications from one person to another. There isn't really an alternative. Sometimes people will have Facebook messenger turned on, but 99 percent of the time, if you're sending a message to a human you don't know well, you're using email.",Stewart Butterfield,dc_e-comms_files\general_image-1829.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Stewart_b.jpg,Photo from Wikimedia Commons,,Data Communications,,
"You could go crazy thinking of how unprivate our lives really are - the omnipresent security cameras, the tracking data on our very smart phones, the porous state of our Internet selves, the trail of electronic crumbs we leave every day.",Susan Orlean,dc_e-comms_files\general_image-1081.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Susan_orlean_2011.jpg,"Photo Larry D. Moore [CC BY-SA 3.0 or GFDL], via Wikimedia Commons",CC BY-SA 3.0 or GFDL,Data Communications,,
What we now call the browser is whatever defines the web. What fits in the browser is the World Wide Web and a number of trivial standards to handle that so that the content comes.,Ted Nelson,dc_w3c_icann_files\general_image-1180.png,Data Comms: W3C & ICANN (dc_w3c_icann.php),https://commons.wikimedia.org/wiki/File:Ted_Nelson.jpg,"Photo by Gisle Hannemyr [CC BY-SA 3.0 ], from Wikimedia Commons",CC BY-SA 3.0,Data Communications,,
"An EMP explosion would wipe out our grid, wipe out our cellular system.",Ted Yoho,dc_communications_media_files\general_image-1575.png,Data Comms: Media (dc_communications_media.php),"https://commons.wikimedia.org/wiki/File:Ted_Yoho,_official_portrait,_113th_Congress.jpg","Photo by United States Congress (Office of Congressman Ted Yoho.) [Public domain or Public domain], via Wikimedia Commons",Public domain,Data Communications,,
It doesn't stop being magic just because you know how it works.,"Terry Pratchett, The Wee Free Men",dc_internet_files\general_image-1076.png,Dat Comms: Internet (dc_internet.php),,"Photo By Robin Zebrowski (Terry Pratchett, Powell's) [CC BY-SA 2.5 (https://creativecommons.org/licenses/by-sa/2.5)], via Wikimedia Commons",CC BY-SA 2.5,Data Communications,,
"Netscape brought the Internet alive with the browser. They made the Internet so that Grandma could use it, and her grandchildren could use it. The second thing that Netscape did was commercialize a set of open transmission protocols so that no company could own the Net.",Thomas Friedman,dc_browsing_files\general_image-1176.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:Thomas_Friedman_World_Economic_Forum_2013.jpg,"Photo by World Economic Forum (Flickr: Tipping Points: Thomas L. Friedman) [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
"In this age of getting what you want and getting it now, the simple pleasure of browsing is often forgotten.",Tom Hodgkinson,dc_browsing_files\general_image-1182.png,Data Comms: Browsing and Searching (dc_browsing.php),https://en.wikipedia.org/wiki/File:Tom_hodgkinson.jpg,Photo from Wikipedia,,Data Communications,,
"I first discovered YouTube while browsing the web, and then I found people just talking into their cameras. I never even knew it was a thing you could do. William Sledd was my first YouTube obsession. He was so unapologetically himself, and just had fun talking to his audience about things that interested him. I thought - if he could do it, why couldn't I?",Tyler Oakley,dc_e-comms_files\general_image-3580.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Tyler_Oakley_by_Gage_Skidmore.jpg,"Photo Gage Skidmore [CC BY-SA 3.0 ], from Wikimedia Commons",CC BY-SA 3.0,Data Communications,,
"Electronic communication makes possible what has previously been excluded, namely: active, simultaneous and reciprocal contact between individuals across all frontiers constituted by countries, religions and continents.",Ulrich Beck,dc_e-comms_files\general_image-1063.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Beck-St-Gallen-Symposium.png,"Photo by International Students’ Committee (File:Beck.png) [CC BY-SA 3.0], via Wikimedia Commons",CC BY-SA 3.0,Data Communications,,
Give a person a fish and you feed them for a day; teach that person to use the Internet and they won't bother you for weeks.,Unknown,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
"Some things Man was never meant to know. For everything else, there's Google.",Unknown,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
The best thing about the Internet is that it makes everyone a publisher. The worst thing about the Internet is that it makes everyone a publisher.,Unknown,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
The most frightening thing about e-communications is how easy it is to forget that you are communicating with another person - a person with the same abilities to be hurt and offended as you have; with feelings - just like you have feelings… and so to be rude and obnoxious and thoughtless to them because they are no longer a person in your mind.,Unknown,,Data Comms: Netiquette (dc_netiquette.php),,,,Data Communications,,
"We Facebook users have been building a treasure lode of big data that government and corporate researchers have been mining to predict and influence what we buy and for whom we vote. We have been handing over to them vast quantities of information about ourselves and our friends, loved ones and acquaintances.",Unknown,dc_e-comms_files\general_image-2970.png,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
What do you call a doctor that fixes websites? A URLologist.,Unknown,,Data Comms: WWW (dc_www.php),,,,Data Communications,,
You can't take something off the Internet — it's like taking pee out of a pool.,Unknown,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
Respect your parents. They passed school without Google.,Unknown - Meme,,Data Comms: Browsing and Searching (dc_browsing.php); Data Comms: WWW (dc_www.php),,,,Data Communications,,
"We're losing social skills, the human interaction skills, how to read a person's mood, to read their body language, how to be patient until the moment is right to make or press a point. Too much exclusive use of electronic information dehumanises what is a very, very important part of community life and living together.",Vincent Nichols,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
I am annoyed by people that send messages via FaceBook because I get an e-mail telling me there is a message on FaceBook - so I end up processing two messages for every one sent.,Vint Cerf,dc_e-comms_files\general_image-2982.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Dr_Vint_Cerf_ForMemRS.jpg,"Photo: The Royal Society [CC BY-SA 3.0 or CC BY-SA 4.0], from Wikimedia Commons",CC BY-SA 3.0 or CC BY-SA 4.0,Data Communications,,
I used to tell jokes about Internet-enabled lightbulbs. I can't tell jokes about it anymore - there already is an Internet-connected lightbulb.,Vint Cerf,dc_internet_files\general_image-1779.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Dr_Vint_Cerf_ForMemRS.jpg,"Photo: The Royal Society [CC BY-SA 3.0 or CC BY-SA 4.0], from Wikimedia Commons",CC BY-SA 3.0 or CC BY-SA 4.0,Data Communications,,
Instant messaging and chat rooms have basically created a level playing field for deaf people.,Vint Cerf,dc_e-comms_files\general_image-3009.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Dr_Vint_Cerf_ForMemRS.jpg,"Photo: The Royal Society [CC BY-SA 3.0 or CC BY-SA 4.0], from Wikimedia Commons",CC BY-SA 3.0 or CC BY-SA 4.0,Data Communications,,
"The Internet has introduced an enormously accessible and egalitarian platform for creating, sharing and obtaining information on a global scale. As a result, we have new ways to allow people to exercise their human and civil rights.",Vint Cerf,dc_internet_files\general_image-1100.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Dr_Vint_Cerf_ForMemRS.jpg,"Photo: The Royal Society [CC BY-SA 3.0 or CC BY-SA 4.0], from Wikimedia Commons",CC BY-SA 3.0 or CC BY-SA 4.0,Data Communications,,
"There's nothing special about wireless networks except that wireless capacity is sometimes less than what you can get, for example, from optical fiber.",Vint Cerf,dc_communications_media_files\general_image-1584.png,Data Comms: Media (dc_communications_media.php),https://commons.wikimedia.org/wiki/File:Dr_Vint_Cerf_ForMemRS.jpg,"Photo: The Royal Society [CC BY-SA 3.0 or CC BY-SA 4.0], from Wikimedia Commons",CC BY-SA 3.0 or CC BY-SA 4.0,Data Communications,,
"What is special about VOIP is that it's just another thing you can do on the Internet, whereas it (voice) is the only thing - or nearly the only thing with the exception of the dial-up modem and fax - that you can do on the public switched telephone network.",Vint Cerf,dc_e-comms_files\general_image-2768.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Dr_Vint_Cerf_ForMemRS.jpg,"Photo: The Royal Society [CC BY-SA 3.0 or CC BY-SA 4.0], from Wikimedia Commons",CC BY-SA 3.0 or CC BY-SA 4.0,Data Communications,,
"In 1998, it was possible to make a big-screen romantic comedy about email. Yep, email - the same medium we often think of now as boring and even annoying.",Walt Mossberg,dc_e-comms_files\general_image-1844.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Walt_Mossberg_at_TPS09_(cropped).jpg,"Photo by Andrew Feinberg (DSC_0002.JPG) [CC BY-SA 2.0 or CC BY-SA 3.0], via Wikimedia Commons",CC BY-SA 2.0 or CC BY-SA 3.0,Data Communications,,
"Cloud computing means you are doing your computing on somebody else's computer. Looking ahead a little, I firmly believe cloud - previously called grid computing - will become very widespread. It's much cheaper than buying your own computing infrastructure, or maybe you don't have the power to do what you want on your own computer.","Whitfield DiffieThe Royal Society [CC BY-SA 3.0 or CC BY-SA 4.0 ], from Wikimedia Commons",dc_internet_files\general_image-1398.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Whitfield_Diffie_Royal_Society.jpg,,CC BY-SA 3.0 or CC BY-SA 4.0,Data Communications,,
"At least 80% of fibre-optic cables globally go via the U.S. This is no accident and allows the U.S. to view all communication coming in. At least 80% of all audio calls, not just metadata, are recorded and stored in the U.S. The NSA lies about what it stores.",William Binney,dc_communications_media_files\general_image-67.png,Data Comms: Media (dc_communications_media.php),https://commons.wikimedia.org/wiki/File:William_Binney_at_CoPS2013_9399.jpg,"Photograph by Rama, Wikimedia Commons, Cc-by-sa-2.0-fr [CeCILL or CC BY-SA 2.0 fr], from Wikimedia Commons",CeCILL or CC BY-SA 2.0 fr,Data Communications,https://commons.wikimedia.org/wiki/User:Rama,
"If you think about the web, the web has been an incredible development platform, and everything today is developed on the web.",William Mougayar,,Data Comms: Web Development (dc_web_development.php),,,,Data Communications,,
"You go to a Japanese restaurant and have a wonderful dish, and the thing to do is take a picture with your phone, put it on Facebook, and see how many likes you get. If you don't share your experiences, they don't become part of the data processing system, and they have no meaning.",Yuval Noah Harari,dc_e-comms_files\general_image-2985.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Yuval_Noah_Harari.jpg,"Photo by Daniel Naber [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
Our philosophy is to provide software for our machines free or at minimal cost.,"Apple - in 1976. Apple provides a free OS and free productivity suite, music editor, photo management and video editor with its computers and mobile devices today.",index_files\general_image-4484.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),,,,"General / Site, Software",,
"Historically, privacy was almost implicit, because it was hard to find and gather information. But in the digital world, whether it's digital cameras or satellites or just what you click on, we need to have more explicit rules - not just for governments but for private companies.",Bill Gates,quotes_files\general_image-16.png,unused quotes (quotes.html),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,General / Site,https://www.flickr.com/photos/dfid/14590135480/,
What we believe is going to be very important is the delivery of traditional software and services and hardware over the Net. That's a form of electronic marketplace.,Bill Gates,index_files\general_image-4481.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,"General / Site, Software",https://www.flickr.com/photos/dfid/14590135480/,
"It's important to be informed about issues like usability, reliability, security, privacy, and some of the inherent limitations of computers.",Brian Kernighan,quotes_files\general_image-70.png,unused quotes (quotes.html),https://commons.wikimedia.org/wiki/File:Brian_Kernighan_in_2012_at_Bell_Labs_2.jpg,"Photo by Ben Lowe (https://www.flickr.com/photos/blowe/7984191507/) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,https://www.flickr.com/photos/blowe/7984191507/,
"If you, or any public-spirited programmer, wanted to figure out what the software on your machine is really doing, tough luck. It's illegal to reverse engineer the source code of commercial software to find out how it works.",Clive Thompson,index_files\general_image-4454.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://www.flickr.com/photos/cambodia4kidsorg/541413686/,Photo from Flikr,,"General / Site, Software",,
"The Internet has given us 10 or 15 new styles of communication: long messages like blogging, and then short messages like texting and tweeting. I see it all as part of an expanding array of linguistic possibilities.",David Crystal,quotes_files\general_image-64.png,unused quotes (quotes.html),https://commons.wikimedia.org/wiki/File:David_Crystal_2017.jpg,"Photo by Eino81 [GFDL or CC BY-SA 4.0 ], from Wikimedia Commons",GFDL or CC BY-SA 4.0,General / Site,,
"Free open-source software, by its nature, is unlikely to feature secret back doors that lead directly to Langley, Va.",Evgeny Morozov,index_files\general_image-4496.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://en.wikipedia.org/wiki/Evgeny_Morozov#/media/File:Evgeny_Morozov_-_Wer_kann_die_neue_Zukunft_machen%3F_(17333061348).jpg,Photo from Wikimedia Commons,,"General / Site, Software",,
"Every case involving cybercrime that I've been involved in, I've never found a master criminal sitting somewhere in Russia or Hong Kong or Beijing. It always ends up that somebody at the company did something they weren't supposed to do. They read an email, went to a website they weren't supposed to.",Frank Abagnale,quotes_files\general_image-13.png,unused quotes (quotes.html),https://commons.wikimedia.org/wiki/File:Frank_W._Abagnale_in_2008.jpg,"Photo Abagnale & Associates [CC BY-SA 4.0], via Wikimedia Commons",CC BY-SA 4.0,General / Site,,
"Open source production has shown us that world-class software, like Linux and Mozilla, can be created with neither the bureaucratic structure of the firm nor the incentives of the marketplace as we've known them.",Howard Rheingold,index_files\general_image-4475.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:Howard_Rheingold_(5).jpg,"By Joi [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,"General / Site, Software",,
"When software is free, or so inexpensive that it's easier to pay for it than to duplicate it, then it won't be ""stolen"".","Jim Warren, July 1976Jwarren36 at English Wikipedia [GFDL or CC BY-SA 3.0 ], via Wikimedia Commons",index_files\general_image-4487.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),"https://commons.wikimedia.org/wiki/File:Computing%27s_Jim_Warren_in_Hansville_WA,_May_2010.jpg",,GFDL or CC BY-SA 3.0,"General / Site, Software",https://en.wikipedia.org/wiki/User:Jwarren36; https://en.wikipedia.org/wiki/,
A lot of people who work on open-source software don't mind making money elsewhere. They aren't anticommercial.,Jimmy Wales,index_files\general_image-4469.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:Jimmy_Wales-1.jpg,"By VGrigas (WMF) [CC BY-SA 3.0 ], from Wikimedia Commons",CC BY-SA 3.0,"General / Site, Software",,
"I think, fundamentally, open source does tend to be more stable software. It's the right way to do things.",Linus Torvalds,index_files\general_image-4472.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:Linus_Torvalds.jpeg,"By Unknown photographer who sold rights to the picture to linuxmag.com [GFDL or CC-BY-SA-3.0], via Wikimedia Commons",GFDL or CC-BY-SA-3.0,"General / Site, Software",,
Shareware tends to combine the worst of commercial software with the worst of free software.,Linus Torvalds,index_files\general_image-1291.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:Linus_Torvalds.jpeg,"By Unknown photographer who sold rights to the picture to linuxmag.com [GFDL or CC-BY-SA-3.0], via Wikimedia Commons",GFDL or CC-BY-SA-3.0,"General / Site, Software",,
"…most of you steal your software. Hardware must be paid for, but software is something to share. Who cares if the people who worked on it get paid?","Louis V. Gerstner, Jr.",index_files\general_image-4490.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:Lou_Gerstner_IBM_CEO_1995.jpg,"By Kenneth C. Zirkel [CC BY-SA 3.0 ], from Wikimedia Commons",CC BY-SA 3.0,"General / Site, Software",,
"Creative Commons' is the self-congratulatory name of a self-congratulatory movement. Somewhat like kibbutz on the Internet, the idea is to write programs - 'free ware' - and distribute them without charge.",Mark Helprin,index_files\general_image-4448.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:Mark_Halperin_2012_Shankbone.JPG,"By David Shankbone [CC BY 3.0 ], from Wikimedia Commons",CC BY 3.0,"General / Site, Software",,
"As the web becomes more and more of a part of our every day lives, it would be a horrible tragedy if it was locked up inside of companies and proprietary software.",Matt Mullenweg,index_files\general_image-4451.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://en.wikipedia.org/wiki/File:Matt-at-wordcamp-bulgaria-2011.jpg#filelinks,Photo Wikipedia,,"General / Site, Software",,
"It seems like the web, particularly software as a service, provides ample opportunities for you to flourish economically, completely aligned with the broader open source community.",Matt Mullenweg,index_files\general_image-4493.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://en.wikipedia.org/wiki/File:Matt-at-wordcamp-bulgaria-2011.jpg#filelinks,Photo Wikipedia,,"General / Site, Software",,
A good programmer is someone who always looks both ways before crossing a one-way street. Doug Linder,Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
"Computers in the future may have only 1,000 vacuum tubes and perhaps only weigh 1 1/2 tons. - Popular Mechanics, 1949",Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
"Everyone says that the internet is so awesome because you can connect with people from all over the world, but I think it’s the opposite. The internet doesn’t make it easier to connect with anyone—it just makes it so you don’t really have to.” ― Sarah Ockler, Bittersweet",Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
"I did Google him, you know."" ""Oh, so you GOOGLED him Oh, well, that changes everything then, doesn't it? What could I possibly worry about now that I know you've conducted such a thorough Internet search?” ― Alyson Noel, Fated",Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
"I mean, all this stuff you're involved in, it's all gossip. It's people talking about each other behind their backs. That's the vast majority of this social media, all these reviews, all these comments. Your tools have elevated gossip, hearsay and conjecture to the level of valid, mainstream communication. And besides that, it's fucking dorky.” ― Dave Eggers, The Circle",Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
"I think there is a world market for maybe five computers. - IBM Chairman Thomas Watson, 1943",Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
"In the age of technology there is constant access to vast amounts of information. The basket overflows; people get overwhelmed; the eye of the storm is not so much what goes on in the world, it is the confusion of how to think, feel, digest, and react to what goes on.” ― Criss Jami, Venus in Arms",Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
It is the greatest truth of our age: Information is not knowledge.” ― Caleb Carr,Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
"Only on the Internet can a person be lonely and popular at the same time.” ― Allison Burnett, Undiscovered Gyrl",Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
"Trivia are not knowledge. Lists of facts don't comprise knowledge. Analyzing, hypothesizing, concluding from data, sharing insights, those comprise knowledge. You can't google for knowledge.” ― Elaine Ostrach Chaika",Neil Gaiman,dc_browsing_files\general_image-1661.png,unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,yes
Nanotechnology will let us build computers that are incredibly powerful. We'll have more power in the volume of a sugar cube than exists in the entire world today.,Ralph Merkle,quotes_files\general_image-67.png,unused quotes (quotes.html),https://commons.wikimedia.org/wiki/File:Ralph_Merkle.png,"Photo by david.orban [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,General / Site,,
Free software is software that respects your freedom and the social solidarity of your community. So it's free as in freedom.,Richard Stallman,index_files\general_image-4457.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:NicoBZH_-_Richard_Stallman_(by-sa)_(5).jpg,"By NicoBZH from Saint Etienne - Loire, France [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,"General / Site, Software",,
"Proprietary software keeps users divided and helpless. Divided because each user is forbidden to redistribute it to others, and helpless because the users can't change it since they don't have the source code. They can't study what it really does. So the proprietary program is a system of unjust power.",Richard Stallman,index_files\general_image-4460.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:NicoBZH_-_Richard_Stallman_(by-sa)_(5).jpg,"By NicoBZH from Saint Etienne - Loire, France [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,"General / Site, Software",,
"Proprietary software grew up, starting really in the 1980s, as an alternative and that became the dominant model with the rise of companies like Microsoft and Oracle and the like.",Tim O'Reilly,index_files\general_image-4463.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),,"Photo (CC) Brian Solis, www.briansolis.com / bub.blicio.us",,"General / Site, Software",http://www.briansolis.com; http://bub.blicio.us,
The Internet browser is the most susceptible to viruses. The browser is naive about downloading and executing software. Google is trying to help by releasing the Chrome browser as open source.,Vint Cerf,index_files\general_image-4478.png,Home Page (index.html); question (question.php); Software: Distribution methods (sw_distribution.php),https://commons.wikimedia.org/wiki/File:Dr_Vint_Cerf_ForMemRS.jpg,"Photo: The Royal Society [CC BY-SA 3.0 or CC BY-SA 4.0], from Wikimedia Commons",CC BY-SA 3.0 or CC BY-SA 4.0,"General / Site, Software",,
"Virtual reality is Silicon Valley’s next new thing. Facebook and Google (not to mention Microsoft) are making huge bets on the technology and battling to control its future. Hollywood has jumped on the bandwagon, too: The best VR content is now showcased every year at the Sundance Film Festival.",Adam Fisher,,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),,,,Hardware,,
The future lies in designing and selling computers that people don't realize are computers at all.,Adam Osborne,hw_processing_files\general_image-1209.png,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),https://en.m.wikipedia.org/wiki/File:Tony_bove_adam_osborne_crop.jpg,Photo from Wikimedia Commons,,Hardware,,
"Moore’s law is astonishing, it’s beyond belief, it’s the dynamo of the modern age.",Alvy Ray Smith,hw_processing_files\general_image-1104.png,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),https://commons.wikimedia.org/wiki/File:Alvy_Ray_Smith_Closeup_Portrait.jpg,"Photo by Alvy Ray Smith [CC BY-SA 3.0 ], from Wikimedia Commons",CC BY-SA 3.0,Hardware,,
Computers may save time but they sure waste a lot of paper. About 98 percent of everything printed out by a computer is garbage that no one ever reads.,Andy Rooney,hw_processing_files\general_image-1251.png,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),https://commons.wikimedia.org/wiki/File:Andy_Rooney_(cropped).jpg,"Photo by Stephenson Brown (originally posted to Flickr as IMG_1902) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Hardware,,
"If it draws blood, it's hardware.",Anonymous,,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),,,,Hardware,,
Those parts of the system that you can hit with a hammer are called hardware; those program instructions that you can only curse at are called software.,Anonymous,,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php); Software: System software (sw_systems.php),,,,"Hardware, Software",,
"A printer consists of three main parts: the case, the jammed paper tray and the blinking red light",Author Unkown,,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),,,,Hardware,,
"Like car accidents, most hardware problems are due to driver error.",Author Unkown,,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php); Software: System software (sw_systems.php),,,,"Hardware, Software",,
RAM /abr./: Rarely Adequate Memory.,Author Unkown,,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),,,,Hardware,,
"I/O, I/O, It's off to disk I go, A bit or byte to read or write, I/O, I/O, I/O...","Author Unkown (sung to the tune of ""Hi Ho"" from Disney's Snow White and the Seven Dwarves)",,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),,,,Hardware,,
"On my desk I have three screens, synchronized to form a single desktop. I can drag items from one screen to the next. Once you have that large display area, you'll never go back, because it has a direct impact on productivity.",Bill Gates,hw_processing_files\general_image-1245.png,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Hardware,https://www.flickr.com/photos/dfid/14590135480/,
The microprocessor is a miracle.,Bill Gates,hw_processing_files\general_image-1233.png,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Hardware,https://www.flickr.com/photos/dfid/14590135480/,
"When you want to do your homework, fill out your tax return, or see all the choices for a trip you want to take, you need a full-size screen.",Bill Gates,hw_processing_files\general_image-1254.png,Hardware: Processing (hw_processing.php); HW Quotes (hw_quotes.php),https://commons.wikimedia.org/wiki/File:Bill_Gates_July_2014.jpg,"Photo by DFID - UK Department for International Development (https://www.flickr.com/photos/dfid/14590135480/) [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Hardware,https://www.flickr.com/photos/dfid/14590135480/,
